"","nom","healthsite_count"
"471","Ndage",0
"472","Tandala",0
"473","Zongo",0
"474","Bafwagbogbo",1
"475","Bafwasende",1
"476","Banalia",1
"477","Bengamisa",0
"478","Kabondo",1
"479","Lowa",0
"480","Lubunga (Tshopo)",0
"481","Makiso Kisangani",4
"482","Mangobo",2
"483","Opala",0
"484","Opienge",0
"485","Tshopo",0
"486","Ubundu",0
"487","Wanierukula",0
"488","Yahisuli",0
"489","Yakusu",0
"490","Yaleko",0
"491","Basali",0
"492","Basoko",0
"493","Isangi",0
"494","Yabaondo",0
"495","Yahuma",0
"496","Yalimbongo",5
"497","Befale",0
"498","Boende",3
"499","Djolu",0
"500","Lingomo",0
"501","Mompono",0
"502","Monkoto",0
"503","Wema",0
"504","Bokungu",0
"505","Busanga",0
"506","Ikela",0
"507","Mondombe",0
"508","Yalifafu",0
"509","Ankoro",1
"510","Kabalo",0
"511","Kalemie",22
"512","Kansimba",0
"513","Kiambi",1
"514","Kongolo",1
"515","Manono",0
"516","Mbulula",0
"517","Moba",0
"518","Nyemba",10
"519","Nyunzu",0
