nom,date,national_security_en
DRC,19-07-2026,"Attack at Muchanga bridge. Community resistance reported in Komanda, Mambasa, Mandima and Mangala. Community incident in Tuungane requiring security/mitigation intervention. Continued strike of providers in Bunia and Rwampara (resumption announced after military governor's intervention)."
DRC,20-07-2026,"CHALLENGES: Insecurity (CODECO/ADF) restricts operations; EDS team attack at Muchanga; community resistance."
DRC,22-07-2026,"CHALLENGES: Insecurity (CODECO/ADF), EDS team attack at Muchanga, community resistance to swabs."
DRC,23-07-2026,"CHALLENGES: Insecurity (CODECO/ADF), EDS team attack at Muchanga, community resistance; need to secure teams."
DRC,25-07-2026,"CHALLENGES: Insecurity (CODECO/ADF), EDS team attack at Muchanga, community resistance; need to secure teams and intensify RCCE."
DRC,26-07-2026,"CHALLENGES: Insecurity (CODECO/ADF), EDS team attack at Muchanga, community resistance; need to secure teams and intensify RCCE."
DRC,27-07-2026,"CHALLENGES: Insecurity (CODECO/ADF), EDS team attack at Muchanga, community resistance; need to secure teams and intensify RCCE."
DRC,01-08-2026,"CHALLENGES: Insecurity (CODECO/ADF), EDS team attack at Muchanga, community resistance to swabs; ambulance vandalized in Beni."
DRC,02-08-2026,"CHALLENGES: Insecurity (CODECO/ADF), EDS team attack at Muchanga, community resistance; need to secure teams and intensify RCCE."
DRC,03-08-2026,"CHALLENGES: Insecurity (CODECO/ADF), EDS team attack at Muchanga, ambulance stoned in Beni; community resistance."
DRC,04-08-2026,"CHALLENGES: Insecurity (CODECO/ADF), EDS team attack at Muchanga, community resistance; ambulance stoned in Beni."
DRC,11-08-2026,"CHALLENGES: Insecurity persists, assaults on staff at Mukulia PoC, community resistance to EDS, 10 refusals at Mangala, body snatched by community at Katwa."
DRC,17-08-2026,"CHALLENGES: Insecurity pockets persist, particularly in parts of Gombari health zone, limiting team access and safe response implementation."
DRC,19-08-2026,"CHALLENGES: EDS team attacked in Kasanga Tuha (multiple injuries, 1 probable death); vehicle stoned in Komanda; security incidents targeting response teams persist."
DRC,20-08-2026,"CHALLENGES: Security risks persist; resistance at Bambole (Buta) lifted through joint mission with provincial ministers; ongoing supervision of security agents at PoE/PoC."
DRC,22-08-2026,"CHALLENGES: Response team attacked with machete during EDS attempt in Kilo (5 incidents, 3 resolved, 1 refusal); access blocked to Butsili household;  road to Bundji cemetery impassable; teams attacked in Isiro and Pawa."
DRC,24-08-2026,"CHALLENGES: Body at Mangina PoC could not be swabbed due to insecurity; morgue stoned in Beni; 5 PoC in Haut-Uele stopped due to non-payment; response teams attacked in Isiro and Pawa."
DRC,25-08-2026,"CHALLENGES: Body at Mangina PoC could not be swabbed due to insecurity; teams attacked in Isiro and Pawa; EDS team member died in road accident (Bambu); 2 others attacked in Rwampara."
DRC,26-08-2026,"CHALLENGES: Body at Magambe PoC released by security before swab; insecurity persists at burial sites; road to Bundji cemetery impassable; community animation cell president assassinated in Beni."
DRC,28-08-2026,"CHALLENGES: Body at Magambe PoC released by security before swab; insecurity persists at burial sites; road to Bundji cemetery impassable."
DRC,30-08-2026,"CHALLENGES: Body at Magambe PoC released without swab; body snatched from Pawa CTE; insecurity persists at burial sites; road to Bundji cemetery impassable; security of strategic PoCs incomplete."
DRC,31-08-2026,"CHALLENGES: 2 escapes from Rwampara and Nizi; insufficient security at Mudzibala PoC; officials resist health protocols at PoCs; insecurity persists on Bundji cemetery road; public order restored at Beni HGR morgue after unrest."
DRC,01-09-2026,"CHALLENGES: 2 escapes from Mangala CT; 42 bodies not swabbed due to community resistance; officials resist health protocols at PoCs; PoC Avakubi non-functional due to insecurity."
DRC,02-09-2026,"CHALLENGES: 21 isolation refusals in Ituri; PoC Vulindi security reinforced; officials resist health protocols at PoCs; North Kivu: 9 public order maintenance activities conducted including security escort for EDS teams."
DRC,03-09-2026,"CHALLENGES: 21 isolation refusals in Ituri; resistance to household decontamination in Butembo; Kalunguta response team assaulted in Mataba; officials resist health protocols at PoCs; Vulindi PoC security reinforced."
DRC,04-09-2026,"CHALLENGES: 21 isolation refusals in Ituri; confirmed patient escaped from Katwa; confirmed patient refused transit in Lubero with community threat to burn CTE under construction; officials resist health protocols at PoCs."
DRC,05-09-2026,"CHALLENGES: 19 isolation refusals in Ituri; 30 bodies not swabbed due to community resistance; threat to burn Ndindi morgue in Beni after body removal; population contact with confirmed body at Rwahwa cemetery (Katwa); escaped patient in Isiro refuses to return to CTE."
DRC,06-09-2026,"CHALLENGES: At Haut-Uele, confirmed escapee found in Nduka (Isiro) refuses to return to CTE, husband threatens suicide; 22 contacts listed; at North Kivu, lack of permanent security vehicle and agent motivation; Tshopo: 10 contacts refusing follow-up in Matete."
DRC,07-09-2026,"CHALLENGES: Attack on response team in Bethsaida (Mangobo) over 'Ebola business' rumors; 11 contacts refuse follow-up in Matete; confirmed case escaped after confirmation in Masereka; family in Munzambaye refuses household decontamination; EDS resistance in Bunia, Nizi, Nia-Nia and Aru."
DRC,08-09-2026,"CHALLENGES: Attack on response team in Bethsaida (Mangobo) over 'Ebola business' rumors; 11 contacts refuse follow-up in Matete; confirmed case escaped in Masereka; family in Munzambaye (Butembo) refuses household decontamination; EDS resistance in Bunia, Nizi, Nia-Nia and Aru; lack of permanent vehicle for security team in North Kivu."
DRC,09-09-2026,"CHALLENGES: Attack on response team in Bethsaida (Mangobo) over 'Ebola business' rumors; 11 contacts refuse follow-up in Matete; confirmed case escaped in Masereka; family in Munzambaye (Butembo) refuses household decontamination; EDS resistance in Bunia, Nizi, Nia-Nia and Aru; lack of permanent vehicle for security team in North Kivu."
DRC,10-09-2026,"CHALLENGES: 'Ebola business' rumors and vaccine demand among PPL fueled two infodemics resolved within 48 hours in Tshopo; a confirmed case escaped from CTE remains at home; total rupture of visibility tools and communication materials in all health zones of Haut-Uele; non-payment of providers for over two months; EDS resistance persists in Nyankunde, Nia-Nia, Mambasa and Rwampara (Ituri); family in Munzambaye (Butembo) refuses household decontamination; lack of permanent vehicle for security team in North Kivu."
DRC,13-09-2026,"CHALLENGES: In Tshopo, need for handwashing facilities in schools and rumor of $300 reward for any case or death alert fueled infodemics resolved within 48 hours; escaped confirmed case remains at home; shortage of posters and banners; in Ituri, insufficient transport means, printer breakdown and no internet connection for pillar; in Haut-Uele, total shortage of visibility tools and communication materials in all affected health zones; in Bas-Uele, impassable roads, lack of transport and phone credit, demotivation of field actors and low reporting from health zones; in North Kivu, lack of permanent vehicle for security team, non-payment of police and security agents, lack of security support at several PoCs on Butembo axis."
DRC,15-09-2026,"CHALLENGES: In Tshopo, escaped confirmed case remains at home; shortage of posters and banners; in Ituri, insufficient transport, printer breakdown and no internet; in Haut-Uele, total shortage of visibility tools and communication materials; in Bas-Uele, impassable roads, lack of transport and phone credit, demotivation of field actors; in North Kivu, lack of permanent vehicle for security team, non-payment of police and security agents, lack of security support at several PoCs on Butembo axis."
