nom,date,provincial_infection_prevention_controle_fr
South-Kivu,07-06-2026,"Un corps a été placé en soins intensifs dans un hôpital général de référence. Un soutien a été apporté à la décontamination d'une école primaire et 4 personnes ont été encadrées pour préparer des solutions chlorées à 0,05% et 0,5%. Une séance d'information a été organisée auprès de 208 personnes issues de 6 aires de santé réparties dans deux zones de santé sur la décontamination, les enterrements sûrs et dignes et le respect des mesures barrières."
Ituri,08-06-2026,"Cartes de score IPC : 19 établissements (un à 38,7 %), 2 établissements (11 %, 12 %) et 16 établissements (tous < 50 %). La formation a commencé pour 50 prestataires de 16 établissements sur l'IPC. Cercles ouverts autour des cas confirmés dans 3 zones avec décontamination des sites. Les prestataires ont été informés des principes fondamentaux de la gestion des déchets, de l’hygiène des mains, du bionettoyage, des EPI et de la MVE ; les techniciens de surface ont été informés sur la MVE et la norme IPC."
North-Kivu,08-06-2026,"A Katwa, 2 formations sanitaires sur 4 ont été décontaminées autour de 2 cas confirmés ; 3 ménages ont été identifiés et planifiés pour une décontamination. De plus, 7 établissements de santé sur 8 ont été accompagnés et 37 prestataires ont été informés sur les sujets de PCI dans ces établissements."
South-Kivu,08-06-2026,"La décontamination a été réalisée dans une unité de soins intensifs et un site de cantonnement. Les évaluations des cartes de pointage de deux établissements de santé (40,0 % et 9,7 %) ont été suivies par l'élaboration de plans de rétablissement. Douze prestataires ont été informés de la décontamination et du port/retrait des EPI. Une évaluation de 5 points chauds a été réalisée et des dispositifs de lavage des mains ont été installés dans une zone de santé."
North-Kivu,11-06-2026,"Bilan de 4 formations sanitaires (FEPSI :61%, Shangilieni :48%, Kyaghala :68%, La Charité :15%). 2/2 installations décontaminées (HGR Katwa, CH FEPSI). 46/56 prestataires informés. Évaluation des risques de 15/36 prestataires (11 à haut risque, 3 intermédiaires, 1 à faible risque). 26 structures accompagnées à Goma, Karisimbi, Nyiragongo avec 29 prestataires briefés."
South-Kivu,11-06-2026,Décontamination de 12 ménages et 9 latrines. Prise en charge de l'EIR (mise/retrait) pour 6 échantillons. Briefing de 6 hygiénistes au CS Kahungu sur la technique de décontamination '3 seaux'.
North-Kivu,15-06-2026,"38 formations sanitaires accompagnées à Butembo, Katwa, Beni et Goma. Fournitures IPC livrées à HGR Matanda. Décontamination des salles de maternité et post-partum à l'HGR Matanda. Évaluation des risques de 6/13 prestataires (3 à haut risque). 97 prestataires briefés à Katwa, Beni et Butembo. Décontamination de l'HGR Kitatumba et du CH Saint Joseph (1/6 installations restantes). Évaluation du tableau de bord de 7 établissements à Beni (moyenne 47,4%). Formation clôturée pour 11 prestataires sur le site de transit des réfugiés avec le soutien de l'OMS/HCR."
South-Kivu,15-06-2026,"Évaluation par fiche de 5 établissements de santé (4 dans la ZS de Katana, 1 dans la ZS de Mitimurhesa)."
North-Kivu,16-06-2026,"Début d'un briefing IPC de 2 jours pour les prestataires de santé des cliniques de la MONUSCO à Goma. Évaluation des risques des 5/7 membres du personnel exposés à un cas confirmé au CH Félicité (risque élevé). Bilan de 23 personnels exposés à Beni (12 à haut risque). 126 prestataires briefés lors de l'accompagnement de 34 formations sanitaires à Beni, Butembo, Katwa. Encadrement du CH LA VERITE qui a reçu 5 cas positifs. Décontamination autour des cas confirmés à Butembo et Katwa. Décontamination de 1/2 installations (CH DON DIVIN) à Katwa. Évaluation du tableau de bord de 12 établissements (Beni moy. 55,7%, Katwa : HGR KITATUMBA 42%, Dispensaire Félicité 24,6%). Fournitures IPC livrées à CH Wanamahika (Katwa)."
South-Kivu,16-06-2026,"Évaluation par fiche de 5 établissements de santé (4 dans la ZS de Katana, 1 dans la ZS de Mitimurhesa). Décontamination de 8 ménages et 8 latrines autour de 8 cas suspects à Katana HZ (5 Kalagane, 3 Chiranga)."
North-Kivu,18-06-2026,"Évaluation des risques au CH CBCA (Katwa) : 1 prestataire à haut risque. Évaluation du tableau de bord de 3 établissements à Beni (CH CBCA 56,5%, CHP Heshima Letu 60%, Dispensaire Bora Uzima 22%). Lacunes : triage non fonctionnel, dispositifs de lavage des mains insuffisants, EPI insuffisants, prestataires non formés, mauvaise gestion des déchets, pas d'incinérateur. Briefing de 222 prestataires à Beni, Butembo, Goma, Katwa, Karisimbi, Nyiragongo. 46 établissements de santé accompagnés pour un mentorat IPC. Décontamination de 6 installations (3 Katwa, 1 Butembo, 2 Beni)."
South-Kivu,18-06-2026,"Conditionnement et distribution de fournitures IPC et EPI à la ZS de Miti-Murhesa. Prise en charge de l'EIR pour 10 ré-échantillonnages. Décontamination de 21 ménages (8 Kalagane AS/Katana, 13 Kabushwa AS/Miti-Murhesa). Installation de 4 postes de contrôle (3 Lwiro AS, 1 Kabushwa AS) avec l'appui du PNHF/OIM. Distribution de kits IPC aux écoles (EP KABINDI, EP MURHANGA, EP CIBATI/COMBO). Décontamination en ambulance après transfert du patient. Bilan au CH Bugarula (Idjwi HZ) : 43,5%."
North-Kivu,19-06-2026,"Évaluation des risques de 16 prestataires exposés : 8 à Katwa (tous à haut risque), 8 à Butembo (6 à haut risque, 2 à faible risque). Décontamination de 2 formations sanitaires (triage CS Makerere) après transfert de cas confirmés et suspectés. Briefing de 104 prestataires sur les définitions de cas et les précautions standards de PCI (triage, isolement, hygiène des mains, nettoyage, désinfection, gestion des déchets) à Butembo, Katwa, Beni, Karisimbi, Nyiragongo. Appui au briefing de 18 prestataires de la morgue à Katwa (Croix Rouge). Fournitures IPC/WASH livrées à 27/42 établissements de santé à Butembo avec le soutien de l'OMS. Accompagnement de 22 formations sanitaires prioritaires. L'évaluation du tableau de bord de 11 établissements (10 Beni, 1 Butembo) est en moyenne de 45,4%. 4 SDB et 21 écouvillons post-mortem réalisés au cours des dernières 24 heures."
Nord-Kivu,23-06-2026,"Briefing de 290 prestataires à Beni, Butembo, Katwa, Oicha, Goma, Karisimbi, Nyiragongo. Évaluation de 11 ESS (moyenne 45,8%). Clôture formation de 34 prestataires (Karisimbi, IMA). Décontamination de 4 ESS (2 Katwa, 2 Beni) et 1 ménage (Kihinga/Katwa). Dotation intrants PCI à CH Mukuna, CH Jérusalem (Katwa) et HGR Oicha. 26 alertes décès prises en charge, 24 prélèvements post-mortem, 5 EDS réalisées."
Sud-Kivu,23-06-2026,"Distribution intrants PCI/PPE à 5 ESS (Katana, OMS). Atelier simulations (EPI, EDS). Coaching Kobocollect à 45 membres. Bionettoyage de 17 écoles (centres d'examen). 4 évaluations scorecard (Idjwi : 56,5% et 24,2%; Fizi : 43,5%; Nundu : 32,3%). Installation de 4 PoC (3 Lwiro, 1 Kabushwa, PNHF/OIM)."
Ituri,24-06-2026,"22/27 EDS réalisés (5 reports). 10 évaluations scorecard dans les ESS. 20 ESS accompagnés avec 81 prestataires briefés. Décontamination de 17 ménages, 4 ESS et 16 véhicules. Briefing de 55 leaders communautaires sur la MVE et les précautions standard."
Nord-Kivu,24-06-2026,"Mission conjointe OMS-PCI à Oicha : visite du CT Oicha avec identification des gaps et dotation d'intrants PCI/WASH. Mission conjointe UNICEF-PCI au CSR CARL BEKER pour suivi du forage photo-voltaïque et unité de triage. Suivi du PLM installé à l'entrée du marché central de Beni. Approvisionnement en eau des citernes du CTE Katwa par CAUB (partenaire UNICEF)."
Sud-Kivu,24-06-2026,"Clôture de l'atelier de simulation sur le port/déshabillage des EPI, EDS, et coaching sur l'outil Kobocollect pour les évaluations scorecard (45 membres du pilier PCI à RIO)."
Ituri,25-06-2026,"38/45 EDS réalisés (7 reports). 17 swabs communautaires effectués. 5 évaluations scorecard dans les ESS. 13 ESS accompagnés. Décontamination de 3 ESS, 20 ménages autour des cas confirmés et 38 véhicules. 191 PPL formés et 55 Recos/leaders communautaires briefés sur les précautions standards."
Nord-Kivu,25-06-2026,"Dotation en kits PCI M1 et M2 à 18 ESS prioritaires (10 Nyiragongo, 8 Karisimbi). Dotation d'intrants PCI (EPI, chlore, détergent, seaux, bottes, gants, tabliers) aux équipes PCI communautaires de Karisimbi et Nyiragongo. Préparation de la mission conjointe OMS-DPS-INRB (SURVEPI-LABO-PCI-PECH-CREC) à Kayna, Alimbongo, Rutshuru et Rwanguba pour renforcer la coordination zonale. Accompagnement des ESS prioritaires dans les zones hotspot avec briefing de 106 prestataires sur les thématiques PCI."
Sud-Kivu,25-06-2026,"Distribution d'intrants PCI et PPE à 4 ESS de Katana (appui OMS). Briefings de 8 superviseurs PCI (2 DPS, 3 Miti-Murhesa, 3 Katana). Décontamination de 4 ménages de cas suspects (3 Katana, 1 Miti-Murhesa). Bionettoyage de 10 écoles (centres d'examen)."
Ituri,27-06-2026,"18 ménages identifiés autour des cas à Bunia, Mongbwalu, Nyankunde, Komanda ; 13 décontaminés. 4 ESS identifiés et décontaminés. 29/29 EDS réalisés avec 14 reports rattrapés. 18 swabs communautaires réalisés à Bunia, Mongbwalu, Nyankunde, Komanda. Évaluations PCI/WASH : CS Hoho (17,7%), PS Seule la fois sauve (35,4%), PS Benedicte (24,2%), CM Lobiko (62,9%). 13 ESS accompagnés, 29 véhicules décontaminés. Briefing de 258 PPL et 73 Recos/leaders communautaires. 37 prestataires briefés lors de la supervision formative sur les généralités de la MVE et les précautions standards."
Nord-Kivu,27-06-2026,"Lancement de la formation de 36 prestataires : 12 équipe EDS (Kyondo), 12 (Butembo), 12 (Musienene) à Butembo. Briefing des ECP et superviseurs PCI sur les outils de collecte des données."
Ituri,29-06-2026,"6/17 ménages identifiés et décontaminés autour de cas confirmés. 8 ESS identifiés et décontaminés à Bunia, Rwampara, Mongbwalu, Komanda. 9 décontaminations de lieux publics (bureau Sokimo, DGPI, COUSP). 26/29 EDS réalisés (2 reports). Évaluations PCI/WASH de 6 ESS : PS Katoto, PS Ushindi (38,7%), PS Maranatha (45,2%), CS Komanda (76%), PS Santé d'abord (34%), Dispensaire Afia Bora (30,6%), CH Unibu (71%). Décontamination de 25 véhicules (ambulances, corbillards) et briefing de 33 prestataires. 93 PPL formés sur les précautions standards à Bunia (50), Nizi (18), Mambasa (25). Dotation de 3 kits ménages à Mongbwalu et Nia-Nia."
Nord-Kivu,29-06-2026,"18 EDS réalisés sur 32 alertes de décès (56,2% de couverture). Délai moyen d'intervention de 4 heures (conforme aux standards). 31 swabs réalisés."
Ituri,30-06-2026,"29/27 ménages identifiés et décontaminés autour de cas confirmés. 3 ESS identifiés et décontaminés à Bunia, Rwampara, Mongbwalu, Komanda. 9 décontaminations de lieux publics (Sokimo, DGPI, COUSP). 26/29 EDS réalisés (2 reports). Évaluations PCI/WASH de 9 ESS. Décontamination de 55 véhicules et briefing de 33 prestataires."
Nord-Kivu,30-06-2026,"Dotation de 5 véhicules par l'OMS pour les équipes des ZS de Katwa, Butembo, Musienene et Kyondo, pour les activités PCI."
Ituri,02-07-2026,"21/27 ménages identifiés et décontaminés autour de cas confirmés. Décontamination de 55 véhicules et briefing de 33 prestataires. 3 ESS identifiés et décontaminés à Bunia, Rwampara, Mongbwalu, Komanda. 9 décontaminations de lieux publics. 26/29 EDS réalisés (2 reports). Évaluations PCI/WASH de 9 ESS. Accompagnement de 29 ESS. Briefing de 52 Recos et leaders communautaires chez les prisonniers. Dotation de kits d'hygiène aux ménages de cas confirmés à Mongbwalu."
