nom,date,national_security_fr
DRC,22-08-2026,"DÉFIS: Équipe riposte attaquée à la machette lors d'EDS à Kilo (5 incidents, 3 résolus, 1 refus); accès bloqué au ménage Butsili; route cimetière Bundji impraticable; équipes agressées à Isiro et Pawa."
DRC,24-08-2026,"DÉFIS: Corps à Mangina non swabé pour insécurité; morgue caillassée à Beni; 5 PoC au Haut-Uélé arrêtés faute de paiement; équipes agressées à Isiro et Pawa."
DRC,25-08-2026,"DÉFIS: Corps à Mangina non swabé pour insécurité; équipes agressées à Isiro et Pawa; membre équipe EDS décédé accident circulation (Bambu); 2 autres agressés à Rwampara."
DRC,26-08-2026,"DÉFIS: Corps à Magambe relâché par sécurité avant swab; insécurité persistante aux sites d'inhumation; route cimetière Bundji impraticable; président cellule communautaire assassiné à Beni."
DRC,28-08-2026,"DÉFIS: Corps à Magambe relâché par sécurité avant swab; insécurité persistante aux sites d'inhumation; route cimetière Bundji impraticable."
DRC,30-08-2026,"DÉFIS: Corps à Magambe relâché sans swab; corps arraché au CTE Pawa; insécurité persistante sites enterrement; route cimetière Bundji impraticable; sécurisation PoC stratégiques incomplète."
DRC,31-08-2026,"DÉFIS: 2 évasions à Rwampara et Nizi; sécurisation insuffisante PoC Mudzibala; résistance officiels aux protocoles aux PoCs; insécurité persiste route cimetière Bundji; ordre public rétabli à morgue HGR Beni."
DRC,01-09-2026,"DÉFIS: 2 évasions à Mangala; 42 corps non swabés pour résistance communautaire; résistance officiels aux protocoles aux PoCs; PoC Avakubi non fonctionnel pour insécurité."
DRC,02-09-2026,"DÉFIS: 21 refus d'isolement en Ituri; sécurisation renforcée PoC Vulindi; résistance officiels aux protocoles aux PoCs; Nord-Kivu: 9 activités maintien ordre public dont escortes EDS."
DRC,03-09-2026,"DÉFIS: 21 refus d'isolement en Ituri; réticence décontamination ménage à Butembo; équipe Kalunguta agressée à Mataba; résistance officiels aux protocoles aux PoCs; sécurisation renforcée PoC Vulindi."
DRC,04-09-2026,"DÉFIS: 21 refus d'isolement en Ituri; évasion d'un malade confirmé à Katwa; refus de transit d'un confirmé à Lubero avec menace de brûler le CTE en construction; résistance officiels aux protocoles aux PoCs."
DRC,05-09-2026,"DÉFIS: 19 refus d'isolement en Ituri; 30 corps non swabés pour résistance communautaire; menace d'incendie de la morgue Ndindi à Beni après enlèvement corps; contact population avec corps confirmé au cimetière Rwahwa (Katwa); évadée à Isiro refuse de regagner CTE."
DRC,06-09-2026,"DÉFIS: Au Haut-Uélé, évadée confirmée trouvée à Nduka (Isiro) refuse de regagner le CTE, mari menace suicide; 22 contacts listés; Nord-Kivu: manque véhicule permanent sécurité et motivation agents; Tshopo: 10 contacts refusant suivi à Matete."
DRC,07-09-2026,"DÉFIS: Attaque contre équipes à Bethsaida (Mangobo) sur rumeurs 'Ebola business'; 11 contacts refusent suivi à Matete; cas confirmé évadé après confirmation à Masereka; famille de Munzambaye refuse décontamination ménage; résistances EDS à Bunia, Nizi, Nia-Nia et Aru."
DRC,08-09-2026,"DÉFIS: Attaque contre équipes à Bethsaida (Mangobo) sur rumeurs 'Ebola business'; 11 contacts refusent suivi à Matete; cas confirmé évadé à Masereka; famille de Munzambaye (Butembo) refuse décontamination; résistances EDS à Bunia, Nizi, Nia-Nia et Aru; manque véhicule permanent pour équipe sécurité au Nord-Kivu."
DRC,09-09-2026,"DÉFIS: Attaque contre équipes à Bethsaida (Mangobo) sur rumeurs 'Ebola business'; 11 contacts refusent suivi à Matete; cas confirmé évadé à Masereka; famille de Munzambaye (Butembo) refuse décontamination; résistances EDS à Bunia, Nizi, Nia-Nia et Aru; manque véhicule permanent pour équipe sécurité au Nord-Kivu."
DRC,10-09-2026,"DÉFIS: Rumeurs 'Ebola business' et demande de vaccin chez les PPL ont alimenté deux infodémies résolues en 48h en Tshopo; cas confirmé évadé du CTE reste à domicile; rupture totale des outils de visibilité et matériels de communication dans toutes les ZS du Haut-Uélé; non-paiement des prestataires depuis plus de deux mois; résistances EDS persistent à Nyankunde, Nia-Nia, Mambasa et Rwampara (Ituri); famille de Munzambaye (Butembo) refuse décontamination; manque véhicule permanent pour équipe sécurité au Nord-Kivu."
DRC,13-09-2026,"DÉFIS: En Tshopo, besoin de dispositifs de lavage des mains dans les écoles et rumeur d'une prime de 300 USD pour toute alerte de cas ou décès ont alimenté des infodémies résolues en 48h; cas confirmé évadé du CTE demeure à domicile; rupture d'affiches et banderoles; en Ituri, insuffisance de moyens de déplacement, imprimante en panne et absence de connexion internet pour le pilier; au Haut-Uélé, rupture totale des outils de visibilité et matériels de communication dans toutes les ZS touchées; au Bas-Uélé, impraticabilité des routes, manque de moyens de transport et crédit téléphonique, démotivation des acteurs de terrain et faible remontée des rapports; au Nord-Kivu, manque véhicule permanent pour équipe sécurité, non-paiement des policiers et agents de sécurité, absence d'appui des éléments de sécurité dans plusieurs PoC de l'axe Butembo."
DRC,15-09-2026,"DÉFIS: En Tshopo, cas confirmé évadé du CTE demeure à domicile; rupture d'affiches et banderoles; en Ituri, insuffisance de moyens de déplacement, imprimante en panne et absence de connexion internet; au Haut-Uélé, rupture totale des outils de visibilité et matériels de communication; au Bas-Uélé, impraticabilité des routes, manque de moyens de transport et crédit téléphonique, démotivation des acteurs de terrain; au Nord-Kivu, manque véhicule permanent pour équipe sécurité, non-paiement des policiers et agents de sécurité, absence d'appui des éléments de sécurité dans plusieurs PoC de l'axe Butembo."
DRC,16-09-2026,"DÉFIS: En Tshopo, cas confirmé évadé du CTE demeure à domicile et refus de listage autour du 29e cas; en Ituri, faible remontée des données dans certaines ZS et démotivation des acteurs liée aux impayés; au Nord-Kivu, menaces d'un groupe de pression contre les RECO de Vunyakondomi et insatisfaction vis-à-vis de la prise en charge au CTE; au Haut-Uélé, rupture des outils de visibilité dans toutes les ZS touchées; au Bas-Uélé, faible remontée des alertes communautaires."
DRC,19-09-2026,"DÉFIS: En Tshopo, cas confirmé évadé du CTE (20e) demeure à domicile, refus de listage et d'investigation autour du 29e cas, 5 résistances notifiées dont 2 seulement brisées; en Ituri, faible remontée des données (complétude 46,4%, 13/28) et démotivation liée aux impayés; au Nord-Kivu, refus de listage et de décontamination à Butembo et Biena, menaces contre un acteur PCI et déni de la maladie; au Bas-Uélé, faible remontée des alertes communautaires, démotivation des acteurs CREC et impraticabilité des routes."
DRC,21-09-2026,"DÉFIS: En Tshopo, cas confirmés évadés du CTE (20e et 26e, Mangobo) demeurent à domicile et 10 contacts du 20e cas refusent le suivi; en Ituri, faible remontée des données (complétude 32,1%, 9/28) et démotivation liée aux impayés; au Nord-Kivu, résistances dans la ZS de Lubero (Vunyakondomi), refus de transfert à Butembo, acteurs CREC impayés depuis plus de quatre mois et faible remontée des alertes communautaires (30,9%); au Bas-Uélé, faible remontée des rapports des ZS, manque de crédit de communication et impraticabilité des routes."
